idx,id,id_spatial,id_region_type,id_region,year,internal_id,value
200,17246913,45,4,1053000,2015,[2],22543
201,17240130,45,4,1053000,2015,[1],4324893000
202,17246514,45,4,1053000,2016,[2],22961
203,17239731,45,4,1053000,2016,[1],4455179000
204,17252899,45,4,1054000,2000,[2],14911
205,17246116,45,4,1054000,2000,[1],2431187000
206,17252500,45,4,1054000,2001,[2],15503
207,17245717,45,4,1054000,2001,[1],2534570000
208,17252101,45,4,1054000,2002,[2],15587
209,17245318,45,4,1054000,2002,[1],2557963000
210,17251702,45,4,1054000,2003,[2],16128
211,17244919,45,4,1054000,2003,[1],2655937000
212,17251303,45,4,1054000,2004,[2],16575
213,17244520,45,4,1054000,2004,[1],2735941000
214,17250904,45,4,1054000,2005,[2],17350
215,17244121,45,4,1054000,2005,[1],2867702000
216,17250505,45,4,1054000,2006,[2],17981
217,17243722,45,4,1054000,2006,[1],2971975000
218,17250106,45,4,1054000,2007,[2],18743
219,17243323,45,4,1054000,2007,[1],3094388000
220,17249707,45,4,1054000,2008,[2],19660
221,17242924,45,4,1054000,2008,[1],3239127000
222,17249308,45,4,1054000,2009,[2],19899
223,17242525,45,4,1054000,2009,[1],3267213000
224,17248909,45,4,1054000,2010,[2],20369
225,17242126,45,4,1054000,2010,[1],3334668000
226,17248510,45,4,1054000,2011,[2],21211
227,17241727,45,4,1054000,2011,[1],3463291000
228,17248111,45,4,1054000,2012,[2],21674
229,17241328,45,4,1054000,2012,[1],3524908000
230,17247712,45,4,1054000,2013,[2],22786
231,17240929,45,4,1054000,2013,[1],3693093000
232,17247313,45,4,1054000,2014,[2],23805
233,17240530,45,4,1054000,2014,[1],3857887000
234,17246914,45,4,1054000,2015,[2],23905
235,17240131,45,4,1054000,2015,[1],3898496000
236,17246515,45,4,1054000,2016,[2],24384
237,17239732,45,4,1054000,2016,[1],4009709000
238,17252900,45,4,1055000,2000,[2],15634
239,17246117,45,4,1055000,2000,[1],3105239000
240,17252501,45,4,1055000,2001,[2],16201
241,17245718,45,4,1055000,2001,[1],3230021000
242,17252102,45,4,1055000,2002,[2],16434
243,17245319,45,4,1055000,2002,[1],3290680000
244,17251703,45,4,1055000,2003,[2],17151
245,17244920,45,4,1055000,2003,[1],3445049000
246,17251304,45,4,1055000,2004,[2],17666
247,17244521,45,4,1055000,2004,[1],3553531000
248,17250905,45,4,1055000,2005,[2],18000
249,17244122,45,4,1055000,2005,[1],3624357000
250,17250506,45,4,1055000,2006,[2],18037
251,17243723,45,4,1055000,2006,[1],3630710000
252,17250107,45,4,1055000,2007,[2],18318
253,17243324,45,4,1055000,2007,[1],3679721000
254,17249708,45,4,1055000,2008,[2],18827
255,17242925,45,4,1055000,2008,[1],3770108000
256,17249309,45,4,1055000,2009,[2],19043
257,17242526,45,4,1055000,2009,[1],3801618000
258,17248910,45,4,1055000,2010,[2],19459
259,17242127,45,4,1055000,2010,[1],3872624000
260,17248511,45,4,1055000,2011,[2],20114
261,17241728,45,4,1055000,2011,[1],3988603000
262,17248112,45,4,1055000,2012,[2],20773
263,17241329,45,4,1055000,2012,[1],4111395000
264,17247713,45,4,1055000,2013,[2],20994
265,17240930,45,4,1055000,2013,[1],4153758000
266,17247314,45,4,1055000,2014,[2],21602
267,17240531,45,4,1055000,2014,[1],4279307000
268,17246915,45,4,1055000,2015,[2],22018
269,17240132,45,4,1055000,2015,[1],4380780000
270,17246516,45,4,1055000,2016,[2],22569
271,17239733,45,4,1055000,2016,[1],4518244000
272,17252901,45,4,1056000,2000,[2],18483
273,17246118,45,4,1056000,2000,[1],5293437000
274,17252502,45,4,1056000,2001,[2],19230
275,17245719,45,4,1056000,2001,[1],5542776000
276,17252103,45,4,1056000,2002,[2],19156
277,17245320,45,4,1056000,2002,[1],5553926000
278,17251704,45,4,1056000,2003,[2],19602
279,17244921,45,4,1056000,2003,[1],5706405000
280,17251305,45,4,1056000,2004,[2],19741
281,17244522,45,4,1056000,2004,[1],5766124000
282,17250906,45,4,1056000,2005,[2],20188
283,17244123,45,4,1056000,2005,[1],5915080000
284,17250507,45,4,1056000,2006,[2],20233
285,17243724,45,4,1056000,2006,[1],5943068000
286,17250108,45,4,1056000,2007,[2],20547
287,17243325,45,4,1056000,2007,[1],6048698000
288,17249709,45,4,1056000,2008,[2],21123
289,17242926,45,4,1056000,2008,[1],6223455000
290,17249310,45,4,1056000,2009,[2],21423
291,17242527,45,4,1056000,2009,[1],6316688000
292,17248911,45,4,1056000,2010,[2],21865
293,17242128,45,4,1056000,2010,[1],6461419000
294,17248512,45,4,1056000,2011,[2],22458
295,17241729,45,4,1056000,2011,[1],6660783000
296,17248113,45,4,1056000,2012,[2],23085
297,17241330,45,4,1056000,2012,[1],6880930000
298,17247714,45,4,1056000,2013,[2],23245
299,17240931,45,4,1056000,2013,[1],6973860000
300,17247315,45,4,1056000,2014,[2],23332
301,17240532,45,4,1056000,2014,[1],7061625000
302,17246916,45,4,1056000,2015,[2],23656
303,17240133,45,4,1056000,2015,[1],7233484000
304,17246517,45,4,1056000,2016,[2],24124
305,17239734,45,4,1056000,2016,[1],7455852000
306,17252902,45,4,1057000,2000,[2],15489
307,17246119,45,4,1057000,2000,[1],1997720000
308,17252503,45,4,1057000,2001,[2],16225
309,17245720,45,4,1057000,2001,[1],2101794000
310,17252104,45,4,1057000,2002,[2],16442
311,17245321,45,4,1057000,2002,[1],2137477000
312,17251705,45,4,1057000,2003,[2],16915
313,17244922,45,4,1057000,2003,[1],2206391000
314,17251306,45,4,1057000,2004,[2],17294
315,17244523,45,4,1057000,2004,[1],2260335000
316,17250907,45,4,1057000,2005,[2],17552
317,17244124,45,4,1057000,2005,[1],2294788000
318,17250508,45,4,1057000,2006,[2],17597
319,17243725,45,4,1057000,2006,[1],2297054000
320,17250109,45,4,1057000,2007,[2],17843
321,17243326,45,4,1057000,2007,[1],2322451000
322,17249710,45,4,1057000,2008,[2],18407
323,17242927,45,4,1057000,2008,[1],2385123000
324,17249311,45,4,1057000,2009,[2],18636
325,17242528,45,4,1057000,2009,[1],2401883000
326,17248912,45,4,1057000,2010,[2],19188
327,17242129,45,4,1057000,2010,[1],2461893000
328,17248513,45,4,1057000,2011,[2],19873
329,17241730,45,4,1057000,2011,[1],2536144000
330,17248114,45,4,1057000,2012,[2],20635
331,17241331,45,4,1057000,2012,[1],2619920000
332,17247715,45,4,1057000,2013,[2],21075
333,17240932,45,4,1057000,2013,[1],2669799000
334,17247316,45,4,1057000,2014,[2],21396
335,17240533,45,4,1057000,2014,[1],2711998000
336,17246917,45,4,1057000,2015,[2],21817
337,17240134,45,4,1057000,2015,[1],2783537000
338,17246518,45,4,1057000,2016,[2],22362
339,17239735,45,4,1057000,2016,[1],2873609000
340,17252903,45,4,1058000,2000,[2],15776
341,17246120,45,4,1058000,2000,[1],4244523000
342,17252504,45,4,1058000,2001,[2],16524
343,17245721,45,4,1058000,2001,[1],4473945000
344,17252105,45,4,1058000,2002,[2],16592
345,17245322,45,4,1058000,2002,[1],4513387000
346,17251706,45,4,1058000,2003,[2],16997
347,17244923,45,4,1058000,2003,[1],4635966000
348,17251307,45,4,1058000,2004,[2],17307
349,17244524,45,4,1058000,2004,[1],4724389000
350,17250908,45,4,1058000,2005,[2],17793
351,17244125,45,4,1058000,2005,[1],4855940000
352,17250509,45,4,1058000,2006,[2],18009
353,17243726,45,4,1058000,2006,[1],4910076000
354,17250110,45,4,1058000,2007,[2],18427
355,17243327,45,4,1058000,2007,[1],5018851000
356,17249711,45,4,1058000,2008,[2],18958
357,17242928,45,4,1058000,2008,[1],5151870000
358,17249312,45,4,1058000,2009,[2],19089
359,17242529,45,4,1058000,2009,[1],5169382000
360,17248913,45,4,1058000,2010,[2],19552
361,17242130,45,4,1058000,2010,[1],5278815000
362,17248514,45,4,1058000,2011,[2],20324
363,17241731,45,4,1058000,2011,[1],5471225000
364,17248115,45,4,1058000,2012,[2],21094
365,17241332,45,4,1058000,2012,[1],5662788000
366,17247716,45,4,1058000,2013,[2],21574
367,17240933,45,4,1058000,2013,[1],5783368000
368,17247317,45,4,1058000,2014,[2],22227
369,17240534,45,4,1058000,2014,[1],5964629000
370,17246918,45,4,1058000,2015,[2],22615
371,17240135,45,4,1058000,2015,[1],6094893000
372,17246519,45,4,1058000,2016,[2],23135
373,17239736,45,4,1058000,2016,[1],6277920000
374,17252904,45,4,1059000,2000,[2],14681
375,17246121,45,4,1059000,2000,[1],2880453000
376,17252505,45,4,1059000,2001,[2],15220
377,17245722,45,4,1059000,2001,[1],3000197000
378,17252106,45,4,1059000,2002,[2],15384
379,17245323,45,4,1059000,2002,[1],3042784000
380,17251707,45,4,1059000,2003,[2],15969
381,17244924,45,4,1059000,2003,[1],3167163000
382,17251308,45,4,1059000,2004,[2],16478
383,17244525,45,4,1059000,2004,[1],3273269000
384,17250909,45,4,1059000,2005,[2],17013
385,17244126,45,4,1059000,2005,[1],3379068000
386,17250510,45,4,1059000,2006,[2],17430
387,17243727,45,4,1059000,2006,[1],3454293000
388,17250111,45,4,1059000,2007,[2],17985
389,17243328,45,4,1059000,2007,[1],3557805000
390,17249712,45,4,1059000,2008,[2],18363
391,17242929,45,4,1059000,2008,[1],3625817000
392,17249313,45,4,1059000,2009,[2],18287
393,17242530,45,4,1059000,2009,[1],3603388000
394,17248914,45,4,1059000,2010,[2],18490
395,17242131,45,4,1059000,2010,[1],3635303000
396,17248515,45,4,1059000,2011,[2],19213
397,17241732,45,4,1059000,2011,[1],3765940000
398,17248116,45,4,1059000,2012,[2],19872
399,17241333,45,4,1059000,2012,[1],3881325000
400,17247717,45,4,1059000,2013,[2],20570
401,17240934,45,4,1059000,2013,[1],4011653000
402,17247318,45,4,1059000,2014,[2],20869
403,17240535,45,4,1059000,2014,[1],4077100000
404,17246919,45,4,1059000,2015,[2],21394
405,17240136,45,4,1059000,2015,[1],4197917000
406,17246520,45,4,1059000,2016,[2],21871
407,17239737,45,4,1059000,2016,[1],4325173000
408,17252905,45,4,1060000,2000,[2],17163
409,17246122,45,4,1060000,2000,[1],4283403000
410,17252506,45,4,1060000,2001,[2],17731
411,17245723,45,4,1060000,2001,[1],4471884000
412,17252107,45,4,1060000,2002,[2],17628
413,17245324,45,4,1060000,2002,[1],4482572000
414,17251708,45,4,1060000,2003,[2],17883
415,17244925,45,4,1060000,2003,[1],4573997000
416,17251309,45,4,1060000,2004,[2],18016
417,17244526,45,4,1060000,2004,[1],4627067000
418,17250910,45,4,1060000,2005,[2],18502
419,17244127,45,4,1060000,2005,[1],4765736000
420,17250511,45,4,1060000,2006,[2],18631
421,17243728,45,4,1060000,2006,[1],4814591000
422,17250112,45,4,1060000,2007,[2],19218
423,17243329,45,4,1060000,2007,[1],4980026000
424,17249713,45,4,1060000,2008,[2],19502
425,17242930,45,4,1060000,2008,[1],5056644000
426,17249314,45,4,1060000,2009,[2],19739
427,17242531,45,4,1060000,2009,[1],5117280000
428,17248915,45,4,1060000,2010,[2],19986
429,17242132,45,4,1060000,2010,[1],5194995000
430,17248516,45,4,1060000,2011,[2],20600
431,17241733,45,4,1060000,2011,[1],5372807000
432,17248117,45,4,1060000,2012,[2],21257
433,17241334,45,4,1060000,2012,[1],5560130000
434,17247718,45,4,1060000,2013,[2],21676
435,17240935,45,4,1060000,2013,[1],5691952000
436,17247319,45,4,1060000,2014,[2],22139
437,17240536,45,4,1060000,2014,[1],5846677000
438,17246920,45,4,1060000,2015,[2],22566
439,17240137,45,4,1060000,2015,[1],6007809000
440,17246521,45,4,1060000,2016,[2],22953
441,17239738,45,4,1060000,2016,[1],6194261000
442,17252906,45,4,1061000,2000,[2],14968
443,17246123,45,4,1061000,2000,[1],2019991000
444,17252507,45,4,1061000,2001,[2],15535
445,17245724,45,4,1061000,2001,[1],2101236000
446,17252108,45,4,1061000,2002,[2],15655
447,17245325,45,4,1061000,2002,[1],2123187000
448,17251709,45,4,1061000,2003,[2],16117
449,17244926,45,4,1061000,2003,[1],2188240000
450,17251310,45,4,1061000,2004,[2],16490
451,17244527,45,4,1061000,2004,[1],2238139000
452,17250911,45,4,1061000,2005,[2],16919
453,17244128,45,4,1061000,2005,[1],2290660000
454,17250512,45,4,1061000,2006,[2],17153
455,17243729,45,4,1061000,2006,[1],2311304000
456,17250113,45,4,1061000,2007,[2],17594
457,17243330,45,4,1061000,2007,[1],2353510000
458,17249714,45,4,1061000,2008,[2],18144
459,17242931,45,4,1061000,2008,[1],2409888000
460,17249315,45,4,1061000,2009,[2],18142
461,17242532,45,4,1061000,2009,[1],2396571000
462,17248916,45,4,1061000,2010,[2],18605
463,17242133,45,4,1061000,2010,[1],2445212000
464,17248517,45,4,1061000,2011,[2],19231
465,17241734,45,4,1061000,2011,[1],2516319000
466,17248118,45,4,1061000,2012,[2],19953
467,17241335,45,4,1061000,2012,[1],2600628000
468,17247719,45,4,1061000,2013,[2],20179
469,17240936,45,4,1061000,2013,[1],2624842000
470,17247320,45,4,1061000,2014,[2],20273
471,17240537,45,4,1061000,2014,[1],2637924000
472,17246921,45,4,1061000,2015,[2],20668
473,17240138,45,4,1061000,2015,[1],2704189000
474,17246522,45,4,1061000,2016,[2],21119
