idx,id_spatial,id_region_type,id_region,year,internal_id,value
262,1,4,1061000,2012,,130135.0
263,1,4,1061000,2013,,130017.0
264,1,4,1061000,2014,,130218.0
265,1,4,1061000,2015,,131457.0
266,1,4,1062000,1997,,213104.0
267,1,4,1062000,1998,,214477.0
268,1,4,1062000,1999,,215903.0
269,1,4,1062000,2000,,217582.0
270,1,4,1062000,2001,,219988.0
271,1,4,1062000,2002,,221264.0
272,1,4,1062000,2003,,221974.0
273,1,4,1062000,2004,,223694.0
274,1,4,1062000,2005,,224583.0
275,1,4,1062000,2006,,225232.0
276,1,4,1062000,2007,,226252.0
277,1,4,1062000,2008,,227260.0
278,1,4,1062000,2009,,228327.0
279,1,4,1062000,2010,,229756.0
280,1,4,1062000,2011,,231376.0
281,1,4,1062000,2012,,232911.0
282,1,4,1062000,2013,,234674.0
283,1,4,1062000,2014,,236705.0
284,1,4,1062000,2015,,239614.0
285,1,4,2000000,1997,,1704731.0
286,1,4,2000000,1998,,1700089.0
287,1,4,2000000,1999,,1704735.0
288,1,4,2000000,2000,,1715392.0
289,1,4,2000000,2001,,1726363.0
290,1,4,2000000,2002,,1728806.0
291,1,4,2000000,2003,,1734083.0
292,1,4,2000000,2004,,1734830.0
293,1,4,2000000,2005,,1743627.0
294,1,4,2000000,2006,,1754182.0
295,1,4,2000000,2007,,1770629.0
296,1,4,2000000,2008,,1772100.0
297,1,4,2000000,2009,,1774224.0
298,1,4,2000000,2010,,1786448.0
299,1,4,2000000,2011,,1718187.0
300,1,4,2000000,2012,,1734272.0
301,1,4,2000000,2013,,1746342.0
302,1,4,2000000,2014,,1762791.0
303,1,4,2000000,2015,,1787408.0
304,1,4,3101000,1997,,248944.0
305,1,4,3101000,1998,,247241.0
306,1,4,3101000,1999,,246322.0
307,1,4,3101000,2000,,245816.0
308,1,4,3101000,2001,,245516.0
309,1,4,3101000,2002,,245392.0
310,1,4,3101000,2003,,245076.0
311,1,4,3101000,2004,,245872.0
312,1,4,3101000,2005,,245273.0
313,1,4,3101000,2006,,245467.0
314,1,4,3101000,2007,,245810.0
315,1,4,3101000,2008,,246012.0
316,1,4,3101000,2009,,247400.0
317,1,4,3101000,2010,,248867.0
318,1,4,3101000,2011,,243829.0
319,1,4,3101000,2012,,245798.0
320,1,4,3101000,2013,,247227.0
321,1,4,3101000,2014,,248502.0
322,1,4,3101000,2015,,251364.0
323,1,4,3102000,1997,,115453.0
324,1,4,3102000,1998,,114104.0
325,1,4,3102000,1999,,112934.0
326,1,4,3102000,2000,,112302.0
327,1,4,3102000,2001,,111696.0
328,1,4,3102000,2002,,110817.0
329,1,4,3102000,2003,,109855.0
330,1,4,3102000,2004,,108763.0
331,1,4,3102000,2005,,107726.0
332,1,4,3102000,2006,,106665.0
333,1,4,3102000,2007,,105320.0
334,1,4,3102000,2008,,104423.0
335,1,4,3102000,2009,,103446.0
336,1,4,3102000,2010,,102394.0
337,1,4,3102000,2011,,98588.0
338,1,4,3102000,2012,,98095.0
339,1,4,3102000,2013,,98197.0
340,1,4,3102000,2014,,98966.0
341,1,4,3102000,2015,,101079.0
342,1,4,3103000,1997,,122798.0
343,1,4,3103000,1998,,122185.0
344,1,4,3103000,1999,,121954.0
345,1,4,3103000,2000,,121805.0
346,1,4,3103000,2001,,121887.0
347,1,4,3103000,2002,,122331.0
348,1,4,3103000,2003,,122724.0
349,1,4,3103000,2004,,122148.0
350,1,4,3103000,2005,,121199.0
351,1,4,3103000,2006,,120493.0
352,1,4,3103000,2007,,120009.0
353,1,4,3103000,2008,,120538.0
354,1,4,3103000,2009,,121109.0
355,1,4,3103000,2010,,121451.0
356,1,4,3103000,2011,,120889.0
357,1,4,3103000,2012,,121758.0
358,1,4,3103000,2013,,122457.0
359,1,4,3103000,2014,,123027.0
360,1,4,3103000,2015,,124045.0
361,1,4,3151000,1997,,165890.0
362,1,4,3151000,1998,,167840.0
363,1,4,3151000,1999,,170033.0
364,1,4,3151000,2000,,171501.0
365,1,4,3151000,2001,,172880.0
366,1,4,3151000,2002,,173863.0
367,1,4,3151000,2003,,174696.0
368,1,4,3151000,2004,,175192.0
369,1,4,3151000,2005,,175298.0
370,1,4,3151000,2006,,174974.0
371,1,4,3151000,2007,,174401.0
372,1,4,3151000,2008,,173765.0
373,1,4,3151000,2009,,173223.0
374,1,4,3151000,2010,,172643.0
375,1,4,3151000,2011,,170865.0
376,1,4,3151000,2012,,171015.0
377,1,4,3151000,2013,,171475.0
378,1,4,3151000,2014,,172541.0
379,1,4,3151000,2015,,174205.0
380,1,4,3153000,1997,,158979.0
381,1,4,3153000,1998,,157955.0
382,1,4,3153000,1999,,157013.0
383,1,4,3153000,2000,,156247.0
384,1,4,3153000,2001,,155610.0
385,1,4,3153000,2002,,154638.0
386,1,4,3153000,2003,,153825.0
387,1,4,3153000,2004,,152758.0
388,1,4,3153000,2005,,151452.0
389,1,4,3153000,2006,,149656.0
390,1,4,3153000,2007,,148091.0
391,1,4,3153000,2008,,146187.0
392,1,4,3153000,2009,,144680.0
393,1,4,3153000,2010,,143014.0
394,1,4,3153000,2011,,139575.0
395,1,4,3153000,2012,,138655.0
396,1,4,3153000,2013,,137833.0
397,1,4,3153000,2014,,137256.0
398,1,4,3153000,2015,,138236.0
399,1,4,3154000,1997,,100900.0
400,1,4,3154000,1998,,100697.0
401,1,4,3154000,1999,,100634.0
402,1,4,3154000,2000,,100033.0
403,1,4,3154000,2001,,99527.0
404,1,4,3154000,2002,,99140.0
405,1,4,3154000,2003,,98732.0
406,1,4,3154000,2004,,98470.0
407,1,4,3154000,2005,,97749.0
408,1,4,3154000,2006,,96972.0
409,1,4,3154000,2007,,95871.0
410,1,4,3154000,2008,,94870.0
411,1,4,3154000,2009,,93903.0
412,1,4,3154000,2010,,92836.0
413,1,4,3154000,2011,,90919.0
414,1,4,3154000,2012,,90391.0
415,1,4,3154000,2013,,90423.0
416,1,4,3154000,2014,,90908.0
417,1,4,3154000,2015,,91500.0
418,1,4,3155000,1997,,152988.0
419,1,4,3155000,1998,,152111.0
420,1,4,3155000,1999,,151845.0
421,1,4,3155000,2000,,151112.0
422,1,4,3155000,2001,,150100.0
423,1,4,3155000,2002,,149345.0
424,1,4,3155000,2003,,148451.0
425,1,4,3155000,2004,,147772.0
426,1,4,3155000,2005,,146690.0
427,1,4,3155000,2006,,145488.0
428,1,4,3155000,2007,,144044.0
429,1,4,3155000,2008,,142321.0
430,1,4,3155000,2009,,140553.0
431,1,4,3155000,2010,,139060.0
432,1,4,3155000,2011,,136516.0
433,1,4,3155000,2012,,135418.0
434,1,4,3155000,2013,,134661.0
435,1,4,3155000,2014,,133905.0
436,1,4,3155000,2015,,134896.0
437,1,4,3157000,1997,,128664.0
438,1,4,3157000,1998,,130002.0
439,1,4,3157000,1999,,131291.0
440,1,4,3157000,2000,,132243.0
441,1,4,3157000,2001,,132998.0
442,1,4,3157000,2002,,133834.0
443,1,4,3157000,2003,,134356.0
444,1,4,3157000,2004,,134492.0
445,1,4,3157000,2005,,134581.0
446,1,4,3157000,2006,,134178.0
447,1,4,3157000,2007,,133560.0
448,1,4,3157000,2008,,132613.0
449,1,4,3157000,2009,,132066.0
450,1,4,3157000,2010,,131481.0
451,1,4,3157000,2011,,130165.0
452,1,4,3157000,2012,,130047.0
453,1,4,3157000,2013,,130147.0
454,1,4,3157000,2014,,130601.0
455,1,4,3157000,2015,,132320.0
456,1,4,3158000,1997,,123582.0
457,1,4,3158000,1998,,124509.0
458,1,4,3158000,1999,,125597.0
459,1,4,3158000,2000,,126697.0
460,1,4,3158000,2001,,126842.0
461,1,4,3158000,2002,,127059.0
462,1,4,3158000,2003,,127220.0
463,1,4,3158000,2004,,127134.0
464,1,4,3158000,2005,,126460.0
465,1,4,3158000,2006,,125412.0
466,1,4,3158000,2007,,124652.0
467,1,4,3158000,2008,,123663.0
468,1,4,3158000,2009,,122806.0
469,1,4,3158000,2010,,122040.0
470,1,4,3158000,2011,,120425.0
471,1,4,3158000,2012,,120117.0
472,1,4,3158000,2013,,119900.0
473,1,4,3158000,2014,,120035.0
474,1,4,3158000,2015,,120981.0
475,1,4,3159000,1997,,355630.0
476,1,4,3159000,1998,,353064.0
477,1,4,3159000,1999,,352011.0
478,1,4,3159000,2000,,350847.0
479,1,4,3159000,2001,,349808.0
480,1,4,3159000,2002,,348949.0
481,1,4,3159000,2003,,347660.0
482,1,4,3159000,2004,,346317.0
483,1,4,3159000,2005,,344007.0
484,1,4,3159000,2006,,342471.0
485,1,4,3159000,2007,,341560.0
486,1,4,3159000,2008,,339257.0
487,1,4,3159000,2009,,337534.0
488,1,4,3159000,2010,,335583.0
489,1,4,3159000,2011,,324197.0
490,1,4,3159000,2012,,323233.0
491,1,4,3159000,2013,,322616.0
492,1,4,3159000,2014,,324013.0
493,1,4,3159000,2015,,329538.0
494,1,4,3241000,1997,,1114736.0
495,1,4,3241000,1998,,1111994.0
496,1,4,3241000,1999,,1114249.0
497,1,4,3241000,2000,,1118091.0
498,1,4,3241000,2001,,1122038.0
499,1,4,3241000,2002,,1125878.0
500,1,4,3241000,2003,,1126724.0
501,1,4,3241000,2004,,1128336.0
502,1,4,3241000,2005,,1128543.0
503,1,4,3241000,2006,,1128772.0
504,1,4,3241000,2007,,1130039.0
505,1,4,3241000,2008,,1129797.0
506,1,4,3241000,2009,,1130262.0
507,1,4,3241000,2010,,1132130.0
508,1,4,3241000,2011,,1106219.0
509,1,4,3241000,2012,,1112675.0
510,1,4,3241000,2013,,1119526.0
511,1,4,3241000,2014,,1128037.0
512,1,4,3241000,2015,,1144481.0
513,1,4,3251000,1997,,206937.0
514,1,4,3251000,1998,,208218.0
515,1,4,3251000,1999,,210004.0
516,1,4,3251000,2000,,211227.0
517,1,4,3251000,2001,,212761.0
518,1,4,3251000,2002,,213963.0
519,1,4,3251000,2003,,214786.0
520,1,4,3251000,2004,,215273.0
521,1,4,3251000,2005,,215548.0
522,1,4,3251000,2006,,215406.0
523,1,4,3251000,2007,,215142.0
524,1,4,3251000,2008,,214379.0
525,1,4,3251000,2009,,213634.0
526,1,4,3251000,2010,,213558.0
527,1,4,3251000,2011,,209745.0
528,1,4,3251000,2012,,209671.0
529,1,4,3251000,2013,,209955.0
530,1,4,3251000,2014,,211093.0
531,1,4,3251000,2015,,213976.0
532,1,4,3252000,1997,,163723.0
533,1,4,3252000,1998,,163103.0
534,1,4,3252000,1999,,162891.0
535,1,4,3252000,2000,,162663.0
536,1,4,3252000,2001,,162290.0
537,1,4,3252000,2002,,161871.0
538,1,4,3252000,2003,,161259.0
539,1,4,3252000,2004,,160469.0
540,1,4,3252000,2005,,159840.0
541,1,4,3252000,2006,,158658.0
542,1,4,3252000,2007,,157867.0
543,1,4,3252000,2008,,156398.0
544,1,4,3252000,2009,,155164.0
545,1,4,3252000,2010,,154085.0
546,1,4,3252000,2011,,149513.0
547,1,4,3252000,2012,,148532.0
548,1,4,3252000,2013,,147755.0
549,1,4,3252000,2014,,147813.0
550,1,4,3252000,2015,,148281.0
551,1,4,3254000,1997,,292726.0
552,1,4,3254000,1998,,292801.0
553,1,4,3254000,1999,,292466.0
554,1,4,3254000,2000,,292979.0
555,1,4,3254000,2001,,293091.0
556,1,4,3254000,2002,,292908.0
557,1,4,3254000,2003,,292358.0
558,1,4,3254000,2004,,291620.0
559,1,4,3254000,2005,,290643.0
560,1,4,3254000,2006,,289984.0
561,1,4,3254000,2007,,288623.0
562,1,4,3254000,2008,,286663.0
563,1,4,3254000,2009,,284551.0
564,1,4,3254000,2010,,282856.0
565,1,4,3254000,2011,,276383.0
566,1,4,3254000,2012,,275330.0
567,1,4,3254000,2013,,274519.0
568,1,4,3254000,2014,,274554.0
569,1,4,3254000,2015,,277055.0
570,1,4,3255000,1997,,83008.0
571,1,4,3255000,1998,,82493.0
572,1,4,3255000,1999,,81870.0
573,1,4,3255000,2000,,81389.0
574,1,4,3255000,2001,,80866.0
575,1,4,3255000,2002,,80338.0
576,1,4,3255000,2003,,79715.0
577,1,4,3255000,2004,,78683.0
578,1,4,3255000,2005,,77918.0
579,1,4,3255000,2006,,76888.0
580,1,4,3255000,2007,,76103.0
581,1,4,3255000,2008,,75092.0
582,1,4,3255000,2009,,74094.0
583,1,4,3255000,2010,,73240.0
584,1,4,3255000,2011,,73155.0
585,1,4,3255000,2012,,72459.0
586,1,4,3255000,2013,,71877.0
587,1,4,3255000,2014,,71438.0
588,1,4,3255000,2015,,71659.0
589,1,4,3256000,1997,,125000.0
590,1,4,3256000,1998,,125386.0
591,1,4,3256000,1999,,125745.0
592,1,4,3256000,2000,,125938.0
593,1,4,3256000,2001,,126310.0
594,1,4,3256000,2002,,126167.0
595,1,4,3256000,2003,,126032.0
596,1,4,3256000,2004,,126134.0
597,1,4,3256000,2005,,125870.0
598,1,4,3256000,2006,,125436.0
599,1,4,3256000,2007,,124895.0
