HH_size,Day,Season,Application,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
1,1,2,2,0,0,0.000411851,0.000823703,0.000411851,0,0,0,0,0,0,0,0,0,0,0,0,0.000331234,0.002855972,0.001841113,0.003891096,0.005809366,0.003253271,0.004067256,0.006720196,0.006159131,0.010452595,0.009579531,0.009967004,0.012945659,0.008522992,0.008972568,0.018544434,0.015341247,0.013140736,0.010617087,0.009674431,0.008837032,0.00861468,0.005742567,0.007492704,0.008557298,0.01057367,0.014537512,0.030725455,0.03304404,0.043271579,0.048523918,0.038936339,0.033359397,0.02320799,0.023825089,0.016613493,0.016618628,0.012146243,0.006761627,0.010095472,0.011538873,0.00691045,0.005916355,0.006686585,0.006948634,0.009387475,0.008978996,0.004924453,0.005537418,0.007082756,0.011319057,0.013885662,0.019376483,0.022446293,0.025770934,0.038020805,0.034972385,0.025249789,0.021917839,0.024766125,0.021840718,0.018058065,0.012681535,0.015841769,0.010111218,0.004754594,0.004286926,0.002207701,0.002517704,0.001138413,0.000465998,0,0,0.000554262,0.000554262,0.000758328,0.002058111,0.001825731,0
1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00040468,0.001727227,0.004829401,0,0.004643415,0.005714193,0.008056531,0.029757092,0.020038284,0.023933321,0.023549072,0.022977583,0.030578071,0.02381287,0.024164373,0.017573444,0.009868117,0.006997225,0.011281183,0.008123912,0.006071733,0.006724052,0.005136927,0.009753365,0.026178192,0.035364024,0.041903894,0.044059515,0.0454932,0.043989602,0.035420232,0.027141541,0.016472802,0.011680454,0.01558224,0.013626679,0.009773902,0.00573619,0.011454746,0.007866993,0.006422198,0.009630811,0.007146609,0.009027975,0.001213528,0.002427056,0.008759668,0.007923465,0.030471038,0.024207354,0.04898436,0.040550385,0.033828914,0.029724814,0.031339251,0.025578912,0.008862803,0.01054179,0.008473486,0.00528125,0.002760629,0.005588708,0.002898223,0.000842717,0.001333978,0,0.00611868,0.001350476,0.00140617,0,0,0
1,1,2,4,0,0,0,0,0.002679673,0.002679673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002150452,0.005293519,0.002150452,0.005959773,0.014608317,0.015229219,0.012089917,0.007201027,0.00855485,0.020403365,0.021254651,0.022658078,0.016701564,0.026720498,0.021659177,0.020931892,0.019248415,0.016875211,0.019739328,0.014046115,0.01163828,0.010337481,0.014502723,0.009913215,0.003457177,0.017254664,0.016702088,0.015069894,0.011723027,0.015540652,0.008554962,0.016345289,0.013634566,0.015044691,0.01321596,0.006548056,0.009848178,0.017235542,0.009727974,0.015267303,0.017418455,0.023612145,0.012871495,0.028817229,0.02738921,0.020783789,0.017452128,0.011482625,0.014660442,0.008342919,0.012494542,0.013244061,0.006663067,0.012748392,0.004610869,0.009415346,0,0.002343821,0.003952645,0.009622861,0.006556971,0.004405007,0,0,0.0026573,0.004890343,0.00701711,0,0
1,1,2,5,0,0,0,0,0.002679673,0.002679673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002150452,0.005293519,0.002150452,0.005959773,0.014608317,0.015229219,0.012089917,0.007201027,0.00855485,0.020403365,0.021254651,0.022658078,0.016701564,0.026720498,0.021659177,0.020931892,0.019248415,0.016875211,0.019739328,0.014046115,0.01163828,0.010337481,0.014502723,0.009913215,0.003457177,0.017254664,0.016702088,0.015069894,0.011723027,0.015540652,0.008554962,0.016345289,0.013634566,0.015044691,0.01321596,0.006548056,0.009848178,0.017235542,0.009727974,0.015267303,0.017418455,0.023612145,0.012871495,0.028817229,0.02738921,0.020783789,0.017452128,0.011482625,0.014660442,0.008342919,0.012494542,0.013244061,0.006663067,0.012748392,0.004610869,0.009415346,0,0.002343821,0.003952645,0.009622861,0.006556971,0.004405007,0,0,0.0026573,0.004890343,0.00701711,0,0
1,1,2,6,0.002901356,0.001831697,0.001820237,0.002097463,0.001779503,0.00050936,0.002120634,0.001493821,0.000743602,0.000874112,0.0013851,0.000572906,0.000732652,0,0.000595012,0.000603456,0.000238989,0.000521741,0.002739367,0.004613623,0.008799922,0.007886691,0.008056565,0.010474531,0.014894773,0.019859662,0.020766061,0.017346645,0.028190041,0.031518664,0.026210194,0.028404819,0.026549082,0.020670401,0.019748891,0.021064913,0.020407151,0.019552609,0.017215952,0.01561784,0.013800351,0.01240963,0.011648688,0.011770143,0.014064427,0.012179875,0.011203545,0.010789453,0.010924739,0.011467649,0.011785335,0.010757226,0.012052504,0.011166074,0.010021511,0.007372818,0.007314148,0.0064916,0.008230852,0.006722448,0.007399643,0.005760618,0.005723442,0.007152128,0.006813481,0.008124043,0.007242415,0.009577916,0.009187017,0.00921575,0.011269973,0.009844972,0.016976716,0.017032532,0.019258333,0.015299914,0.01463617,0.012232087,0.014964024,0.014633491,0.011104098,0.008778454,0.006764854,0.00554172,0.008732775,0.009751814,0.011435005,0.015522547,0.023102609,0.015259553,0.012561378,0.01159412,0.011865454,0.009024835,0.007099518,0.004052659
1,1,2,7,0.009380085,0.004721463,0.003766058,0.003377289,0.0009599,0.0009599,0.000592266,0,0.001133491,0,0,0,0,0,0,0,0,0,0,0,0.001080947,0.000720632,0,0.000610327,0.001727745,0.004353956,0.002089243,0.004613887,0.002337839,0.002514312,0.003822008,0.003867641,0.002798038,0.004483459,0.006739887,0.007120266,0.00743058,0.012356245,0.011471727,0.014672539,0.014884921,0.017967785,0.017894771,0.023100646,0.02188433,0.019443398,0.018450543,0.018345714,0.014854092,0.012795942,0.010116705,0.010109817,0.011461589,0.0110826,0.008586203,0.008115076,0.006843736,0.010206513,0.008065558,0.009000736,0.013922657,0.014930994,0.017511433,0.016762564,0.016484445,0.017939655,0.028128536,0.025025953,0.024289634,0.02377007,0.022998368,0.01819942,0.013635765,0.01227255,0.018220007,0.012814763,0.013322753,0.013460534,0.014119904,0.01822306,0.016588865,0.025340615,0.027894782,0.024197953,0.017234791,0.01854302,0.022305146,0.025875146,0.026592862,0.025321594,0.021993205,0.023004502,0.01435647,0.013193832,0.012955536,0.011346608
1,1,2,8,0.004607815,0.003915213,0.003404934,0.002573266,0.001483475,0.001192116,0.00099685,0.00068802,0.000507536,0.000580314,0.000819538,0.001098823,0.000871416,0.000269262,0.000184829,0.000184829,0,0,0.000206432,0.000364996,0.00148083,0.002027338,0.002698472,0.002070798,0.004219556,0.004530168,0.005232124,0.005520901,0.007439223,0.007770003,0.007275199,0.007640979,0.00915254,0.00882735,0.008494068,0.008697228,0.007742764,0.007075918,0.006190092,0.005925533,0.005346529,0.004791832,0.004948445,0.00509403,0.005431666,0.005807818,0.005601903,0.005622753,0.006568158,0.006633001,0.006641114,0.006593674,0.006889294,0.006590446,0.006904702,0.006989949,0.007982964,0.008499512,0.008679399,0.009404694,0.008353669,0.007303273,0.006960587,0.007520926,0.008349855,0.007920036,0.008515592,0.009024107,0.010604373,0.01196189,0.012141448,0.01249747,0.013931539,0.015725365,0.016194498,0.017544432,0.022257293,0.02189921,0.023184229,0.026012033,0.031926017,0.034245517,0.03538372,0.037337527,0.036178134,0.035882279,0.034251731,0.031554159,0.022018105,0.020802649,0.018475063,0.015764179,0.010884848,0.008669361,0.007197013,0.006783294
1,1,2,9,0.00247929,0.001457519,0.001449196,0.00165052,0.001263817,0.000341429,0.001540021,0.001084825,0.00054001,0.000634787,0.00100587,0.000416049,0.000532058,0,0.000432102,0.000438234,0.000173555,0.000598971,0.001882657,0.003202131,0.00607711,0.00525938,0.005866376,0.007491732,0.011799843,0.014805682,0.015457752,0.013357283,0.021332767,0.023900388,0.019860853,0.018989561,0.019882115,0.016235705,0.017501749,0.020294016,0.022626357,0.022083271,0.020410545,0.022483964,0.01956417,0.019309262,0.019014467,0.019865368,0.016613621,0.013409846,0.008688637,0.00715633,0.006398936,0.00592244,0.008623969,0.008232668,0.01064884,0.008846759,0.01038176,0.008051343,0.008556263,0.008022714,0.008969214,0.008753922,0.008870815,0.008265616,0.009868507,0.012923514,0.011859274,0.012500835,0.015105478,0.013811847,0.014018586,0.011854736,0.013942091,0.014703795,0.014014116,0.014310838,0.013681231,0.011902968,0.010034487,0.010994388,0.012532532,0.014703416,0.012084317,0.011686056,0.011437925,0.009868685,0.011490611,0.011966551,0.010798088,0.014200882,0.017481513,0.011691269,0.009295778,0.008522989,0.008876172,0.007553428,0.005998308,0.003427366
1,1,3,1,0.003060527,0.002553438,0.002119733,0.001879354,0.001068217,0.000834583,0.000805791,0.000666373,0.000611286,0.000555334,0.000558366,0.000422947,0.000531642,0.00039098,0.00037724,0.000381467,0.000722511,0.000846925,0.001127241,0.001538315,0.002277729,0.002730297,0.00337484,0.003878012,0.005921951,0.006340581,0.007945461,0.008760775,0.011393065,0.011673492,0.012039486,0.012763328,0.013409382,0.013323169,0.013040523,0.012105202,0.01218836,0.011312906,0.010967129,0.01068709,0.009973019,0.009750941,0.010097309,0.009874093,0.010024225,0.010444063,0.011669911,0.011539576,0.013347398,0.014226714,0.013853816,0.012956041,0.012103251,0.012100949,0.011251542,0.010651841,0.010188485,0.009658682,0.00993838,0.009984449,0.010892264,0.011201139,0.010963756,0.011227407,0.010752098,0.010952735,0.011234618,0.011291045,0.011909685,0.012195326,0.012886429,0.013440885,0.015150573,0.015506593,0.016593991,0.017182676,0.01748129,0.01811751,0.018941261,0.019318691,0.020250432,0.020500839,0.020610945,0.021191442,0.020989656,0.021276517,0.02094076,0.020253355,0.015800377,0.013947931,0.012355307,0.010849337,0.008078028,0.006798624,0.005711423,0.004592327
1,1,3,2,0.000752888,0.001505776,0.000752888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000354191,0.0008326,0.00201485,0.00368366,0.001845266,0.001753291,0.003711858,0.00221723,0.007205481,0.007881372,0.008979033,0.013036974,0.009466646,0.0125357,0.012492094,0.01418382,0.012153814,0.018145286,0.00482567,0.005947489,0.008167731,0.005347826,0.00754731,0.006518168,0.009096218,0.007423826,0.013644166,0.018515663,0.034345288,0.035950236,0.041436896,0.041247781,0.036788851,0.027294626,0.022508942,0.019691974,0.017958757,0.015848238,0.011855636,0.008141604,0.006881526,0.007995522,0.004368949,0.005997967,0.004054043,0.002581243,0.003318116,0.005857081,0.009530584,0.009762323,0.007376985,0.010628797,0.015383234,0.016275696,0.019766547,0.020441007,0.030579405,0.01969897,0.023753539,0.019401815,0.019987073,0.019005382,0.014540154,0.015465277,0.009401342,0.006417541,0.002132881,0.001101671,0.003925405,0.001774544,0,0.00430883,0.000754373,0.000435915,0.001150819,0,0.000640753,0.001094544,0.000407358,0
